,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg
47,2_13,29,11866.965517241379,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,3983.8275862068967,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
48,2_14,88,14867.681818181818,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,3859.215909090909,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
49,2_15,60,14989.983333333334,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,4122.116666666667,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
50,2_16,50,13689.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,3790.8,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
51,2_17,30,12211.433333333332,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,2778.733333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
52,2_18,63,12359.396825396825,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,3579.0793650793653,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
53,2_19,42,13863.785714285714,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T02.tif,4755.1056392839455,4043.99,4709.285714285715,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T02.tif,2978.596066497093,2555.825
54,3_1,34,12999.14705882353,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,4076.6176470588234,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
55,3_2,65,12420.138461538461,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3283.646153846154,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
56,3_3,26,12211.0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3090.5384615384614,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
57,3_4,34,12196.676470588236,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3977.4411764705883,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
58,3_5,26,12872.115384615385,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3235.076923076923,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
59,3_6,86,14787.32558139535,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3617.6511627906975,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
60,3_7,75,13391.16,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3608.6266666666666,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
61,3_8,91,13707.857142857143,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C0_T03.tif,4839.669055876686,4010.63,3814.5604395604396,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_01_R3D_D3D_Z0_C1_T03.tif,2988.3282446268795,2517.05
